TIME,UNEMP_GAP,INFL_OECD,GDP_GAP,COMM,CISS,INFLATION_EXPECTATION
1989-11,-0.5966546118467022,3.580594,0.0068699695733538,-3.3251900108577703,0.0978227272727272,2.8285714285714287
1989-12,-0.6617858519716027,3.604042,0.0068699695733538,-5.082128316720491,0.0157,2.757142857142857
1990-01,-0.7291605834785599,3.60262,0.0068699695733538,-7.913030616772665,0.0383260869565217,2.6375
1990-02,-0.7988570392337087,3.381234,0.0084008501822428,-2.698361708962416,0.051405,2.77777777777778
1990-03,-0.7709478258641163,3.39759,0.0084008501822428,5.430835259161437,0.0346636363636363,2.8
1990-04,-0.845499385976483,3.171374,0.0084008501822428,-1.1586034131830236,0.0155380952380952,3.02222222222222
1990-05,-0.8225722135060147,3.108561,0.0098634141871929,-0.5860921907175687,0.0077043478260869,3.01
1990-06,-0.8022202784729053,2.97136,0.0098634141871929,0.7807520713830396,0.008495238095238,2.98
1990-07,-0.7844912038895258,3.009397,0.0098634141871929,-3.794466403162056,0.020790909090909,2.9125
1990-08,-0.8694264227969608,3.260225,0.0161210918564741,-0.2958093672966289,0.0869043478260869,3.04
1990-09,-0.9570613150634256,3.680547,0.0161210918564741,3.939343992088351,0.08969,2.96
1990-10,-0.947424552019922,4.265347,0.0161210918564741,-7.12020298128766,0.1057782608695652,3.55545454545455
1990-11,-0.9405374202650804,4.023124,0.0248645337341621,-9.919754140344894,0.0345090909090909,3.87
1990-12,-0.9364138960229038,3.490422,0.0248645337341621,-2.103866565579981,0.1152904761904762,3.885
1991-01,-0.9350606982842118,3.875424,0.0248645337341621,-0.871248789932233,0.251295652173913,3.22857142857143
1991-02,-0.936477320623962,3.98318,0.0225621215321878,-1.8359375000000069,0.191055,3.0375
1991-03,-0.9406560416425904,3.2976,0.0225621215321878,8.197373656983697,0.1008857142857142,3.23333333333333
1991-04,-0.9475819140352808,2.888296,0.0225621215321878,3.0525928650239065,0.054040909090909,3.12222222222222
1991-05,-0.9572327323487516,3.223562,0.0184684470412221,-0.9992862241256284,0.0465043478260869,3.14444444444444
1991-06,-0.9695789795408718,3.627303,0.0184684470412221,2.541456380677732,0.01633,3.22222222222222
1991-07,-0.9845837525144788,3.822171,0.0184684470412221,-0.8261557391457175,0.0509043478260869,3.05
1991-08,-1.002202666853127,3.536165,0.0170137397960197,-5.317263381779513,0.1201454545454545,3.22727272727273
1991-09,-1.022383741043516,2.537262,0.0170137397960197,-5.016847622613252,0.1133285714285714,3.25454545454545
1991-10,-0.9450672605270798,2.21494,0.0170137397960197,-4.119038234134809,0.0336130434782608,3.11818181818182
1991-11,-0.8701856219818147,2.846773,0.0115149651704292,-3.473792394655695,0.0486809523809523,3.18181818181818
1991-12,-0.797663929900069,2.79355,0.0115149651704292,-3.705281090289614,0.042840909090909,3.12
1992-01,-0.8274205743789649,2.276826,0.0115149651704292,2.056612118531631,0.1370304347826087,3.19
1992-02,-0.859367790701353,2.25792,0.0083775657282706,5.200433369447444,0.09639,3.24545454545455
1992-03,-0.7934114297320773,2.707276,0.0083775657282706,3.2543769309989923,0.0386045454545454,3.03333333333333
1992-04,-0.729450711411662,2.76212,0.0083775657282706,2.373828047077597,0.0380454545454545,2.9
1992-05,-0.6673787336788646,2.774657,0.0048376361631122,-1.9485580670303928,0.0449571428571428,2.97
1992-06,-0.6070829659947279,2.63923,0.0048376361631122,-1.748807631160576,0.0643045454545454,2.87
1992-07,-0.648445728293022,2.546991,0.0048376361631122,-3.0946601941747587,0.1108652173913043,2.85833333333333
1992-08,-0.6913446562253771,2.073631,0.0062100537817561,-2.5464412439991646,0.1479190476190476,2.74166666666667
1992-09,-0.6356523820041655,2.31913,0.0062100537817561,0.5354465624330729,0.4138181818181818,2.64
1992-10,-0.5812362033922511,2.166943,0.0062100537817561,-1.5338730293992353,0.5611409090909091,2.64166666666667
1992-11,-0.427958513427324,2.227614,0.0114379941591901,3.461704889658157,0.220847619047619,2.56153846153846
1992-12,-0.2756772202998263,2.39726,0.0114379941591901,1.129234629861986,0.1039173913043478,2.6
1993-01,-0.224246930051172,2.843288,0.0114379941591901,1.1373035566583978,0.1157047619047619,2.9
1993-02,-0.1735201215837278,2.779304,0.0032692880620633,4.9683091392353385,0.144315,2.7
1993-03,-0.0233475434994794,2.932455,0.0032692880620633,1.051811453058038,0.0753130434782608,2.6
1993-04,0.0264213944894216,2.907296,0.0032692880620633,-7.208943716268312,0.0196318181818181,2.5
1993-05,0.1759374628216203,2.688818,-0.0042029213910885,-3.489821354383049,0.0194333333333333,2.6
1993-06,0.2253512280669731,2.375245,-0.0042029213910885,1.5066724063710568,0.0187863636363636,3.3
1993-07,0.3748118992531868,2.581345,-0.0042029213910885,3.710771840542826,0.0719090909090909,2.6
1993-08,0.5244669465867648,3.183053,-0.0121665633139801,0.8382743815170901,0.0926,2.7
1993-09,0.5744609482070846,2.819651,-0.0121665633139801,-4.480940794809407,0.0238772727272727,2.8
1993-10,0.7249344354406642,2.716156,-0.0121665633139801,0.1061345786457224,0.0080238095238095,2.7
1993-11,0.7760235070449824,2.535059,-0.0200613147881725,4.643765903307906,0.015640909090909,2.7
1993-12,0.9278586681476036,2.697163,-0.0200613147881725,4.761904761904767,0.008391304347826,2.8
1994-01,0.9805644360403978,2.421775,-0.0200613147881725,4.642166344293996,0.0084047619047619,2.7
1994-02,1.0342581686119274,2.490381,-0.0211690187257743,3.844731977818849,0.03861,2.7
1994-03,0.9890496576671436,2.315408,-0.0211690187257743,-1.548593805624776,0.0165608695652173,2.7
