TIME,UNEMP_GAP,INFL_OECD,GDP_GAP,COMM,CISS,INFLATION_EXPECTATION
1989-11,-0.5298800214601147,2.686462,0.0009777748739576,-3.3251900108577703,0.0978227272727272,3.06
1989-12,-0.5666183914984384,2.898551,0.0009777748739576,-5.082128316720491,0.0157,2.96
1990-01,-0.6310509906408741,2.879213,0.005278375224571,-7.913030616772665,0.0383260869565217,2.96666666666667
1990-02,-0.6972344517197709,3.144653,0.005278375224571,-2.698361708962416,0.051405,2.75
1990-03,-0.7998490635051294,3.142458,0.005278375224571,5.430835259161437,0.0346636363636363,2.83333333333333
1990-04,-0.8782963299495443,3.132614,0.0082345075342322,-1.1586034131830236,0.0155380952380952,2.87142857142857
1990-05,-0.8806327984622608,3.022932,0.0082345075342322,-0.5860921907175687,0.0077043478260869,2.72857142857143
1990-06,-0.9108101663486086,2.945252,0.0082345075342322,0.7807520713830396,0.008495238095238,2.72857142857143
1990-07,-0.9515162759724431,2.977412,0.008900144035099,-3.794466403162056,0.020790909090909,2.8
1990-08,-0.9594482836217664,3.13672,0.008900144035099,-0.2958093672966289,0.0869043478260869,2.66666666666667
1990-09,-0.9605857471340516,3.744418,0.008900144035099,3.939343992088351,0.08969,3.46666666666667
1990-10,-0.9722395996523794,3.847475,0.0083722754051587,-7.12020298128766,0.1057782608695652,3.0625
1990-11,-0.95108483082198,3.683304,0.0083722754051587,-9.919754140344894,0.0345090909090909,3.525
1990-12,-0.9750459819621028,3.469598,0.0083722754051587,-2.103866565579981,0.1152904761904762,3.64444444444444
1991-01,-0.9414439757959868,3.344709,0.0081680575180982,-0.871248789932233,0.251295652173913,3.36666666666667
1991-02,-0.9324909069169272,3.319784,0.0081680575180982,-1.8359375000000069,0.191055,3.3
1991-03,-0.9171434755038802,3.52065,0.0081680575180982,8.197373656983697,0.1008857142857142,3.38333333333333
1991-04,-0.879470464251574,3.307458,0.0103832558516154,3.0525928650239065,0.054040909090909,3.36666666666667
1991-05,-0.851170276781964,3.338955,0.0103832558516154,-0.9992862241256284,0.0465043478260869,3.36666666666667
1991-06,-0.8083583764723905,3.769775,0.0103832558516154,2.541456380677732,0.01633,3.35
1991-07,-0.7192042056790681,3.622466,0.0147928386591589,-0.8261557391457175,0.0509043478260869,3.18571428571429
1991-08,-0.655083818077449,3.702479,0.0147928386591589,-5.317263381779513,0.1201454545454545,3.3875
1991-09,-0.607973213291821,3.145695,0.0147928386591589,-5.016847622613252,0.1133285714285714,3.4625
1991-10,-0.5857222333670614,2.679457,0.0145129065238052,-4.119038234134809,0.0336130434782608,3.475
1991-11,-0.5723576755615247,3.253653,0.0145129065238052,-3.473792394655695,0.0486809523809523,3.475
1991-12,-0.5519018144656237,3.054449,0.0145129065238052,-3.705281090289614,0.042840909090909,3.44285714285714
1992-01,-0.5480697558382835,3.863937,0.0121904593238451,2.056612118531631,0.1370304347826087,3.05714285714286
1992-02,-0.4972383921578032,4.098361,0.0121904593238451,5.200433369447444,0.09639,3.22222222222222
1992-03,-0.4707510361934642,4.120339,0.0121904593238451,3.2543769309989923,0.0386045454545454,3.14285714285714
1992-04,-0.4367343089336378,4.018295,0.0110236950526632,2.373828047077597,0.0380454545454545,3.0
1992-05,-0.387129546251107,4.24282,0.0110236950526632,-1.9485580670303928,0.0449571428571428,3.0
1992-06,-0.3456325115207881,3.957184,0.0110236950526632,-1.748807631160576,0.0643045454545454,3.0
1992-07,-0.2327231259419774,4.041053,0.0060427071661397,-3.0946601941747587,0.1108652173913043,3.13333333333333
1992-08,-0.1514859938785682,3.825311,0.0060427071661397,-2.5464412439991646,0.1479190476190476,3.12857142857143
1992-09,-0.0779727184974848,3.852327,0.0060427071661397,0.5354465624330729,0.4138181818181818,3.11428571428571
1992-10,-0.0279309816008419,4.059279,-0.0026201041794164,-1.5338730293992353,0.5611409090909091,3.15
1992-11,0.0464077410006441,3.954983,-0.0026201041794164,3.461704889658157,0.220847619047619,3.10909090909091
1992-12,0.1372360412185479,4.220362,-0.0026201041794164,1.129234629861986,0.1039173913043478,3.17777777777778
1993-01,-0.0666196775046512,4.101749,-0.0105536536342327,1.1373035566583978,0.1157047619047619,3.1
1993-02,-0.0809860098411849,3.716536,-0.0105536536342327,4.9683091392353385,0.144315,3.1
1993-03,0.0046481718630029,3.831659,-0.0105536536342327,1.051811453058038,0.0753130434782608,3.1
1993-04,-0.0097159934593142,3.831659,-0.0103415591901399,-7.208943716268312,0.0196318181818181,3.2
1993-05,0.0759225972591144,3.694427,-0.0103415591901399,-3.489821354383049,0.0194333333333333,3.1
1993-06,0.0615651220546231,3.588145,-0.0103415591901399,1.5066724063710568,0.0187863636363636,3.0
1993-07,0.0472121731410366,3.51418,-0.0056484911965455,3.710771840542826,0.0719090909090909,3.0
1993-08,0.1328638676926559,3.438748,-0.0056484911965455,0.8382743815170901,0.0926,3.0
1993-09,0.018519958592325,3.400309,-0.0056484911965455,-4.480940794809407,0.0238772727272727,3.1
1993-10,0.0041791735387191,3.467492,-0.0040965675986592,0.1061345786457224,0.0080238095238095,3.0
1993-11,-0.0101599026703986,3.464275,-0.0040965675986592,4.643765903307906,0.015640909090909,3.0
1993-12,-0.0244987174839774,3.554868,-0.0040965675986592,4.761904761904767,0.008391304347826,3.0
1994-01,-0.0388386399566531,3.084911,-0.0063591020094095,4.642166344293996,0.0084047619047619,2.9
1994-02,-0.1531808501097482,3.127847,-0.0063591020094095,3.844731977818849,0.03861,2.8
1994-03,-0.2675262282837218,3.055051,-0.0063591020094095,-1.548593805624776,0.0165608695652173,2.8
