TIME,UNEMP_GAP,INFL_OECD,GDP_GAP,COMM,CISS,INFLATION_EXPECTATION
1989-11,-1.8501045138956829,6.803493,0.0084327240441776,-3.3251900108577703,0.0978227272727272,6.016666666666667
1989-12,-2.017875030043601,6.559792,0.0084327240441776,-5.082128316720491,0.0157,5.96
1990-01,-2.0887001604098083,7.523268,0.0558661726780318,-7.913030616772665,0.0383260869565217,6.1
1990-02,-2.26266530472871,7.467548,0.0558661726780318,-2.698361708962416,0.051405,5.6625
1990-03,-2.439839746221125,6.676994,0.0558661726780318,5.430835259161437,0.0346636363636363,5.6375
1990-04,-2.620275309270648,6.262102,0.0471557020830708,-1.1586034131830236,0.0155380952380952,5.73333333333333
1990-05,-2.904004992336905,6.215602,0.0471557020830708,-0.5860921907175687,0.0077043478260869,5.55555555555556
1990-06,-3.0910415757058423,5.683434,0.0471557020830708,0.7807520713830396,0.008495238095238,5.58888888888889
1990-07,-3.2813754322174744,5.799292,0.0306100800287287,-3.794466403162056,0.020790909090909,5.52857142857143
1990-08,-3.37497308408237,6.155449,0.0306100800287287,-0.2958093672966289,0.0869043478260869,5.7125
1990-09,-3.3717757342562225,5.725548,0.0306100800287287,3.939343992088351,0.08969,6.0
1990-10,-3.27169854423574,5.678603,0.0298744246210347,-7.12020298128766,0.1057782608695652,6.06666666666667
1990-11,-3.2746306587295555,5.716477,0.0298744246210347,-9.919754140344894,0.0345090909090909,5.9875
1990-12,-3.2804359778587693,5.038629,0.0298744246210347,-2.103866565579981,0.1152904761904762,5.79
1991-01,-3.0889531345326056,5.116422,0.0150123879837016,-0.871248789932233,0.251295652173913,5.21666666666667
1991-02,-2.9999954496542847,5.144891,0.0150123879837016,-1.8359375000000069,0.191055,5.21666666666667
1991-03,-2.8133524096121008,4.942273,0.0150123879837016,8.197373656983697,0.1008857142857142,5.1875
1991-04,-2.628790352681309,4.794038,0.0075178038490015,3.0525928650239065,0.054040909090909,4.9125
1991-05,-2.34605390917104,4.898123,0.0075178038490015,-0.9992862241256284,0.0465043478260869,4.625
1991-06,-2.064867425514249,4.479552,0.0075178038490015,2.541456380677732,0.01633,4.425
1991-07,-1.7849371458760697,4.29914,-0.009125262888161,-0.8261557391457175,0.0509043478260869,4.41111111111111
1991-08,-1.40595338180262,3.77152,-0.009125262888161,-5.317263381779513,0.1201454545454545,4.18
1991-09,-1.127592672176842,3.390333,-0.009125262888161,-5.016847622613252,0.1133285714285714,4.08
1991-10,-1.0495207074759565,3.34023,-0.0172845863615043,-4.119038234134809,0.0336130434782608,4.07777777777778
1991-11,-0.8713944776164446,3.498916,-0.0172845863615043,-3.473792394655695,0.0486809523809523,3.68
1991-12,-0.5928628743611721,4.133373,-0.0172845863615043,-3.705281090289614,0.042840909090909,3.76666666666667
1992-01,-0.413568065750189,3.050617,-0.0110629278339127,2.056612118531631,0.1370304347826087,3.475
1992-02,-0.3331476452643294,2.852722,-0.0110629278339127,5.200433369447444,0.09639,3.66666666666667
1992-03,-0.3512360152728142,2.98205,-0.0110629278339127,3.2543769309989923,0.0386045454545454,3.52222222222222
1992-04,-0.1674650075611818,3.008169,-0.0200791676485119,2.373828047077597,0.0380454545454545,3.6125
1992-05,0.1185362562394534,2.621759,-0.0200791676485119,-1.9485580670303928,0.0449571428571428,3.59
1992-06,0.5071399466662552,3.033783,-0.0200791676485119,-1.748807631160576,0.0643045454545454,3.5875
1992-07,0.8987173196247813,2.942868,-0.0268004829412378,-3.0946601941747587,0.1108652173913043,3.48888888888889
1992-08,1.0936357179037142,2.809743,-0.0268004829412378,-2.5464412439991646,0.1479190476190476,3.24
1992-09,1.2922555497445156,3.107074,-0.0268004829412378,0.5354465624330729,0.4138181818181818,3.31111111111111
1992-10,1.3949287848414471,3.165523,-0.0333148174935109,-1.5338730293992353,0.5611409090909091,3.67272727272727
1992-11,1.5019974217811285,3.142558,-0.0333148174935109,3.461704889658157,0.220847619047619,3.65833333333333
1992-12,1.6137926958108064,2.320955,-0.0333148174935109,1.129234629861986,0.1039173913043478,3.97
1993-01,1.730634252691436,2.87546,-0.0313591668815735,1.1373035566583978,0.1157047619047619,3.7
1993-02,2.0528292860798434,2.924031,-0.0313591668815735,4.9683091392353385,0.144315,3.8
1993-03,2.380671635973494,2.727017,-0.0313591668815735,1.051811453058038,0.0753130434782608,3.8
1993-04,2.614439302637708,2.649748,-0.0346710288165219,-7.208943716268312,0.0196318181818181,4.0
1993-05,2.954391916957899,2.638695,-0.0346710288165219,-3.489821354383049,0.0194333333333333,4.0
1993-06,3.200768936676706,2.10849,-0.0346710288165219,1.5066724063710568,0.0187863636363636,3.9
1993-07,3.353787023302852,2.104479,-0.0313751421423287,3.710771840542826,0.0719090909090909,3.9
1993-08,3.5136381410538764,2.145322,-0.0313751421423287,0.8382743815170901,0.0926,4.0
1993-09,3.580488376161023,1.752434,-0.0313751421423287,-4.480940794809407,0.0238772727272727,3.8
1993-10,3.6544767034501344,1.561922,-0.027296183177536,0.1061345786457224,0.0080238095238095,3.5
1993-11,3.535714470521929,1.311052,-0.027296183177536,4.643765903307906,0.015640909090909,3.5
1993-12,3.52428482685442,1.527636,-0.027296183177536,4.761904761904767,0.008391304347826,3.3
1994-01,3.4202436401781515,0.2291056,-0.0251189655513437,4.642166344293996,0.0084047619047619,3.4
1994-02,2.323619584667915,0.2831826,-0.0251189655513437,3.844731977818849,0.03861,3.1
1994-03,2.434414943729662,0.3557745,-0.0251189655513437,-1.548593805624776,0.0165608695652173,3.0
